word,ci_lower,ci_upper,mean,n,gender_bias
big,1.785714286,2.214285714,2,14,m
bigger,1.357142857,2,1.642857143,14,m
much,2.8,3.4,3.1,10,neither
bike,1.928571429,2.642857143,2.285714286,14,m
billions,2.071428571,2.928571429,2.5,14,m
Billy,1.285714286,1.785714286,1.571428571,14,m
bite,2,2.714285714,2.357142857,14,m
blade,1.6,2.333333333,2,15,m
Blaze,1.6,2.5,2.1,10,m
block,1.866666667,2.866666667,2.333333333,15,m
must,2.285714286,3.071428571,2.714285714,14,neither
mustard,2.642857143,3.428571429,3,14,neither
my,2.7,3,2.9,10,neither
myself,2.692307692,3.153846154,2.923076923,13,neither
name,2.866666667,3.4,3.133333333,15,neither
blow,2.266666667,2.8,2.533333333,15,m
blue,2.214285714,2.714285714,2.428571429,14,m
Bo,1.538461538,2.692307692,2.153846154,13,m
napkin,2.882352941,3.647058824,3.235294118,17,neither
board,1.785714286,2.716071429,2.285714286,14,m
Bobby,1.285714286,2.144642857,1.714285714,14,m
naughty,2.928571429,3.928571429,3.428571429,14,neither
bone,2.176470588,2.882352941,2.529411765,17,m
nearby,2.783928571,3.285714286,3,14,neither
boom,2.066666667,2.666666667,2.333333333,15,m
neck,2.5,3.6,3,10,neither
boots,1.747916667,2.916666667,2.333333333,12,m
bored,2.285714286,2.928571429,2.642857143,14,m
neighborhood,2.769230769,3.230769231,3,13,neither
neighbors,2.785714286,3.214285714,3,14,neither
bottle,1.916666667,2.916666667,2.416666667,12,m
bout,2.4,2.935,2.666666667,15,m
boy,1.125,2,1.5,16,m
boys,1,1.214285714,1.071428571,14,m
net (for catching something),2.666666667,3.2,2.933333333,15,neither
never,2.571428571,3.214285714,2.857142857,14,neither
new,2.666666667,3.333333333,3,12,neither
news,2.428571429,3.071428571,2.714285714,14,neither
brake,2.076923077,2.846153846,2.461538462,13,m
branches,2.333333333,2.833333333,2.583333333,12,m
break,2.5,2.928571429,2.714285714,14,m
bricks,2.058823529,2.647058824,2.352941176,17,m
brother,1.066666667,1.466666667,1.233333333,30,m
brothers,1,1.5,1.2,10,m
night,2.571428571,3.142857143,2.857142857,14,neither
brown,1.9,2.7,2.3,10,m
bucket,1.923076923,2.538461538,2.230769231,13,m
no,2.428571429,3.071428571,2.785714286,14,neither
buckets,2.142857143,2.857142857,2.5,14,m
nobody,2.583333333,3,2.833333333,12,neither
nodded,2.5,3.166666667,2.833333333,12,neither
build,1.714285714,2.428571429,2.071428571,14,m
noisy,2.5,3.357142857,2.928571429,14,neither
none,2.785714286,3,2.928571429,14,neither
building,1.769230769,2.538461538,2.153846154,13,m
built,1.466666667,2.4,1.933333333,15,m
nose,2.666666667,3.166666667,2.916666667,12,neither
not,2.75,3.4375,3.0625,16,neither
bulldozer,1.411764706,2.235294118,1.823529412,17,m
nothing,2.6875,3.1875,2.9375,16,neither
November,2.666666667,3,2.866666667,15,neither
now,2.214285714,3.071428571,2.642857143,14,neither
nowhere,2.615384615,3,2.846153846,13,neither
bumpy,2.214285714,2.785714286,2.5,14,m
buried,2.461538462,2.923076923,2.692307692,13,m
burned,2.230769231,2.923076923,2.615384615,13,m
o'clock,2.466666667,3.333333333,2.866666667,15,neither
oats,2.785714286,3.214285714,3,14,neither
burnt,2.071428571,2.714285714,2.428571429,14,m
off,2.615384615,3,2.846153846,13,neither
business,2.285714286,2.785714286,2.571428571,14,m
buster,1.230769231,2,1.615384615,13,m
buzz,1.642857143,2.357142857,2,14,m
camper,1.933333333,2.666666667,2.333333333,15,m
oil,2.615384615,3.538461538,3.076923077,13,neither
ok,2.764705882,3.117647059,2.941176471,17,neither
captain,1.1875,1.9375,1.5625,16,m
car,1.785714286,2.571428571,2.214285714,14,m
older,2.731666667,3.133333333,2.933333333,15,neither
Carl,1,1,1,10,m
cars,1.142857143,1.571428571,1.357142857,14,m
one,2.571428571,3.071428571,2.857142857,14,neither
ones,2.769230769,3,2.923076923,13,neither
ones that play music,2.785714286,3.571428571,3.142857143,14,neither
only,2.8,3.4,3.1,10,neither
onto,2.4,3.333333333,2.866666667,15,neither
castle,2.071428571,2.642857143,2.357142857,14,m
cave,1.769230769,2.538461538,2.153846154,13,m
cellar,2.214285714,2.857142857,2.571428571,14,m
orange (color),2.785714286,3.357142857,3.071428571,14,neither
orange (fruit),2.8,3.4025,3.1,10,neither
order,2.166666667,3,2.583333333,12,neither
cement,1.285714286,2.071428571,1.642857143,14,m
chains,1.615384615,2.384615385,2,13,m
other,2.733333333,3.133333333,2.933333333,15,neither
charge (responsibility),1.666666667,2.666666667,2.166666667,12,m
ought,2.733333333,3.266666667,3,15,neither
Charley,1.142857143,1.857142857,1.5,14,m
out,2.6,3.2,2.9,10,neither
outside,2.461538462,3.076923077,2.769230769,13,neither
Charlie,1.285714286,1.716071429,1.5,14,m
over,2.625,3.1875,2.9375,16,neither
owl,2.5,3.125,2.8125,16,neither
own,2.428571429,3,2.785714286,14,neither
chief,1.461538462,2.384615385,1.923076923,13,m
chimpanzees,2.214285714,2.857142857,2.571428571,14,m
chin,2.142857143,2.714285714,2.428571429,14,m
page,2.9375,3.75,3.3125,16,neither
paid,2.785714286,3,2.928571429,14,neither
pail,2.8125,3.625,3.1875,16,neither
painted,2.692307692,3.461538462,3.076923077,13,neither
painters,2.294117647,3.058823529,2.647058824,17,neither
painting,2.733333333,3.133333333,2.933333333,15,neither
paints,2.666666667,3.752083333,3.166666667,12,neither
chomp,2,2.470588235,2.235294118,17,m
chug,1.142857143,1.714285714,1.428571429,14,m
palace,2.466666667,3.4,2.933333333,15,neither
Clifford,1,1.3,1.1,10,m
climb,2.142857143,2.785714286,2.5,14,m
climbed,2,2.833333333,2.416666667,12,m
climber,1.846153846,2.615384615,2.230769231,13,m
clown,2.214285714,2.928571429,2.571428571,14,m
paper,2.4,3,2.7,10,neither
parade,2.928571429,3.714285714,3.285714286,14,neither
pardon,2.928571429,3.644642857,3.285714286,14,neither
parents,2.769230769,3,2.923076923,13,neither
coal,1.642857143,2.357142857,2,14,m
cock,1.2484375,2.0625,1.625,16,m
parlor,2.866666667,3.933333333,3.4,15,neither
parrot,2.5,3.166666667,2.833333333,12,neither
part (..of something),2.8,3.4,3.066666667,15,neither
part (as in leave),2.714285714,3.571428571,3.142857143,14,neither
cocky,1.2,2.066666667,1.6,15,m
cold,2.2,2.8,2.5,10,m
pass,2.642857143,3.214285714,2.928571429,14,neither
passengers,2.926785714,3.428571429,3.142857143,14,neither
past,2.571428571,3.142857143,2.857142857,14,neither
pat,2.142857143,3.142857143,2.642857143,14,neither
patch,2.6,3.133333333,2.866666667,15,neither
patient,2.923076923,3.538461538,3.230769231,13,neither
patted,2.846153846,3.692307692,3.307692308,13,neither
collar,1.928571429,2.928571429,2.428571429,14,m
paws,2.357142857,3.071428571,2.714285714,14,neither
Colvin,1.4,2.9,2,10,m
peacock,2.071428571,3.214285714,2.642857143,14,neither
peanut,2.666666667,3.2,2.933333333,15,neither
peanuts,2.357142857,3,2.714285714,14,neither
cone,2.285714286,2.928571429,2.642857143,14,m
peck,2.764705882,3.647058824,3.176470588,17,neither
constrictor,1.8,2.6,2.2,15,m
peeked,2.916666667,3.916666667,3.416666667,12,neither
peep,2.8,3.4025,3.1,10,neither
pencil,2.571428571,3,2.785714286,14,neither
penguin,2.928571429,3.642857143,3.214285714,14,neither
cork,2.214285714,2.857142857,2.571428571,14,m
coughed,2.470588235,2.882352941,2.705882353,17,m
peppers,2.214285714,3.214285714,2.714285714,14,neither
country,2.214285714,2.785714286,2.5,14,m
crazy,2,2.785714286,2.428571429,14,m
creep (move slowly),1.769230769,2.615384615,2.230769231,13,m
person,2.769230769,3.230769231,3,13,neither
pet (animal),2.642857143,3.642857143,3.071428571,14,neither
creep (undesirable person),1.384615385,2.307692308,1.846153846,13,m
crooked,2.176470588,2.764705882,2.470588235,17,m
crow,1.928571429,2.857142857,2.428571429,14,m
crowd,2.5,2.928571429,2.714285714,14,m
crusher,1.714285714,2.571428571,2.142857143,14,m
cut,2.142857143,2.644642857,2.428571429,14,m
pick,2.642857143,3,2.857142857,14,neither
picked,2.933333333,3.4,3.133333333,15,neither
pickle,2.357142857,3.144642857,2.785714286,14,neither
pickled,2.214285714,3.142857143,2.714285714,14,neither
dad,1,1.666666667,1.266666667,15,m
daddy,1,2,1.357142857,14,m
danger,1.857142857,2.571428571,2.214285714,14,m
dare,2.071428571,2.785714286,2.428571429,14,m
dark,1.533333333,2.466666667,2,15,m
David,1,1.529411765,1.235294118,17,m
Dawson,1.133333333,1.933333333,1.466666667,15,m
dead,2.166666667,2.916666667,2.583333333,12,m
decided,2.25,2.9390625,2.625,16,m
decker,2.133333333,2.866666667,2.533333333,15,m
demanded,2,2.764705882,2.352941176,17,m
pine,2.470588235,3.119117647,2.823529412,17,neither
den,2.307692308,2.846153846,2.615384615,13,m
dentist,2.2,2.733333333,2.466666667,15,m
"pins (liitle, sharp)",2.928571429,3.857142857,3.428571429,14,neither
pip,2.923076923,3.692307692,3.307692308,13,neither
derby,1.997916667,2.666666667,2.333333333,12,m
piper,2.214285714,3.357142857,2.714285714,14,neither
desk,2.355357143,2.928571429,2.642857143,14,m
dig,1.642857143,2.214285714,1.928571429,14,m
digger,1.928571429,2.928571429,2.428571429,14,m
pizza,2.384615385,3,2.692307692,13,neither
place,2.7,3.3,3,10,neither
placed,2.571428571,3.357142857,3,14,neither
places,2.615384615,3,2.846153846,13,neither
plain,2.8,3.533333333,3.2,15,neither
plan,2.928571429,3.642857143,3.285714286,14,neither
digging,2.285714286,2.928571429,2.571428571,14,m
Dingo,1.615384615,2.384615385,2,13,m
dinosaur,1.733333333,2.333333333,2.066666667,15,m
plastic,2.647058824,3.117647059,2.882352941,17,neither
dinosaurs,1.767307692,2.384615385,2.076923077,13,m
play (action),2.4,3.2,2.8,10,neither
played,2.5,3.071428571,2.785714286,14,neither
playing,2.6,3.4,3,15,neither
dirt,1.8,2.4,2.133333333,15,m
discovered,2.384615385,2.846153846,2.615384615,13,m
disturb,1.928571429,2.642857143,2.285714286,14,m
doctor,1.615384615,2.230769231,1.923076923,13,m
dog,1.75,2.666666667,2.25,12,m
dogs,2,2.533333333,2.266666667,15,m
donkey,1.857142857,2.571428571,2.214285714,14,m
pocket,2.641071429,3.285714286,2.928571429,14,neither
door,2.333333333,2.866666667,2.6,15,m
point (place),2.692307692,3.153846154,2.923076923,13,neither
point (with finger),2.615384615,3.230769231,2.923076923,13,neither
pointed,2.769230769,3.384615385,3.076923077,13,neither
poked,2.071428571,3,2.5,14,neither
poky,2.5,3.357142857,2.928571429,14,neither
doorway,2.285714286,2.928571429,2.642857143,14,m
Dr.,1.642857143,2.5,2.071428571,14,m
dragons,1.4,2.266666667,1.8,15,m
drank,1.833333333,2.666666667,2.333333333,12,m
drink,2.2,2.8,2.533333333,15,m
drive,1.8,2.6,2.2,10,m
driver,2,2.533333333,2.266666667,15,m
Pooh,2.2,3.6,2.9,10,neither
drives,2.214285714,2.928571429,2.571428571,14,m
poor,2.4,3,2.8,10,neither
pop,2.8125,3.75,3.3125,16,neither
popped,2.642857143,3.5,3.071428571,14,neither
porch,2.5,3.5,3,14,neither
dropped,1.857142857,2.571428571,2.214285714,14,m
drum,1.916666667,2.583333333,2.25,12,m
dry,2.2,2.9,2.6,10,m
potatoes,2.615384615,3.384615385,3,13,neither
pots,2.928571429,3.785714286,3.357142857,14,neither
pouch,2.928571429,3.5,3.214285714,14,neither
dug,2.071428571,2.785714286,2.428571429,14,m
duke,1.058823529,1.470588235,1.235294118,17,m
practice,2.764705882,3.117647059,2.941176471,17,neither
dump,2,2.733333333,2.333333333,15,m
prairie,2.333333333,3.666666667,3.083333333,12,neither
pray,2.714285714,3.785714286,3.285714286,14,neither
Duncan,1.1,1.8,1.4,10,m
duty,1.666666667,2.333333333,2,15,m
present (to show something),2.785714286,3.357142857,3.071428571,14,neither
eagle,1.923076923,2.694230769,2.307692308,13,m
pressed,2.333333333,3.066666667,2.733333333,15,neither
Ed,1.142857143,1.642857143,1.357142857,14,m
edge,1.923076923,2.769230769,2.384615385,13,m
elbow,2.529411765,2.941176471,2.764705882,17,m
elephants,2.25,2.9375,2.625,16,m
elevator,2.461538462,2.923076923,2.692307692,13,m
engine,1.357142857,2.071428571,1.714285714,14,m
private,2.857142857,3.5,3.142857143,14,neither
probably,2.783928571,3.357142857,3.071428571,14,neither
problem,2.571428571,3,2.785714286,14,neither
enormous,1.857142857,2.571428571,2.214285714,14,m
express (fast),2.352941176,2.882352941,2.588235294,17,m
extremely,2.333333333,2.933333333,2.666666667,15,m
proud,2.428571429,3.142857143,2.785714286,14,neither
far,2.416666667,2.916666667,2.666666667,12,m
farmer,1.465,2.4,1.866666667,15,m
public,2.857142857,3.642857143,3.214285714,14,neither
pudding,2.8,3.666666667,3.266666667,15,neither
puff,2.923076923,3.538461538,3.230769231,13,neither
fast,1.928571429,2.5,2.214285714,14,m
pulled,2.4,3.2,2.8,10,neither
faster,2.071428571,2.5,2.285714286,14,m
father,1,1.333333333,1.133333333,15,m
pup,2.5,3.5,3,14,neither
fellow,1.588235294,2.294117647,1.941176471,17,m
puppy,2.714285714,3.714285714,3.214285714,14,neither
Ferdinand,1,1.6,1.2,10,m
fight,1.071428571,1.642857143,1.357142857,14,m
fighting,1.083333333,1.583333333,1.333333333,12,m
put,2.875,3.4375,3.125,16,neither
quack (duck sound),2.571428571,3.428571429,3,14,neither
quarters,2.714285714,3.142857143,2.928571429,14,neither
fire,1.75,2.5,2.166666667,12,m
fired,2,2.933333333,2.466666667,15,m
quick,2.285714286,3.142857143,2.714285714,14,neither
quickly,2.466666667,3.133333333,2.8,15,neither
fireman,1,1.384615385,1.153846154,13,m
fishing,1.846153846,2.307692308,2.076923077,13,m
fit,1.857142857,2.714285714,2.285714286,14,m
rabbit,2.921153846,3.461538462,3.153846154,13,neither
raccoon,2.529411765,3,2.764705882,17,neither
raced,2.125,3,2.5625,16,neither
rag,2.6,3.533333333,3.066666667,15,neither
flea,2.470588235,2.882352941,2.705882353,17,m
folks,2.3,2.9,2.6,10,m
fool (idiot),1.571428571,2.357142857,2,14,m
rainy,2.642857143,3.357142857,3,14,neither
raised,2.642857143,3.571428571,3.071428571,14,neither
fought,1.416666667,2.166666667,1.75,12,m
Fred,1,1,1,13,m
ran,2.2,3.066666667,2.666666667,15,neither
freight,1.5,2.5,2,14,m
fried,2.071428571,2.857142857,2.5,14,m
rather,2.7,3,2.9,10,neither
rattle,2.357142857,3.214285714,2.785714286,14,neither
raven,2.142857143,3.214285714,2.714285714,14,neither
reach,2.6875,3.3125,3,16,neither
reached,2.333333333,3.083333333,2.75,12,neither
frog,1.833333333,2.666666667,2.25,12,m
ready,2.857142857,3.5,3.142857143,14,neither
real,2.615384615,3.153846154,2.923076923,13,neither
full,2.071428571,2.858928571,2.5,14,m
furious,1.882352941,2.529411765,2.235294118,17,m
recess (school),2.764705882,3.294117647,3,17,neither
red,2.5,3.214285714,2.857142857,14,neither
game,2.214285714,2.857142857,2.571428571,14,m
games,2.461538462,2.923076923,2.692307692,13,m
remind,2.764705882,3.235294118,3,17,neither
replied,2.642857143,3.357142857,3,14,neither
garbage,2,2.666666667,2.333333333,15,m
gate,2.285714286,2.857142857,2.571428571,14,m
retrieving,2.733333333,3.133333333,2.933333333,15,neither
returned,2.785714286,3.5,3.142857143,14,neither
general,2.142857143,2.785714286,2.5,14,m
genius,2,2.785714286,2.428571429,14,m
gentlemen,1,1.615384615,1.230769231,13,m
rid,2.2,3,2.6,15,neither
george,1,1.416666667,1.166666667,12,m
ridiculous,2.923076923,3.538461538,3.230769231,13,neither
riding,2.5,3.8,3.1,10,neither
right,2.571428571,3.428571429,3,14,neither
Gerald,1.075,1.461538462,1.230769231,13,m
giant,1.5,2,1.8,10,m
gigantic,1.785714286,2.5,2.142857143,14,m
Gino,1.352941176,2.176470588,1.764705882,17,m
rise,2.5,3.285714286,2.928571429,14,neither
goat,2.214285714,2.857142857,2.571428571,14,m
river,2.428571429,3.285714286,2.928571429,14,neither
god,1.6,2.9,2.2,10,m
gore,1.823529412,2.411764706,2.117647059,17,m
gorilla,1.416666667,2.5,1.916666667,12,m
gotta,2.357142857,2.857142857,2.642857143,14,m
rocked,2.470588235,3,2.705882353,17,neither
grabbed,1.866666667,2.533333333,2.2,15,m
grandfather,1,1,1,10,m
gravel,1.615384615,2.538461538,2.076923077,13,m
gray,2.083333333,2.5,2.25,12,m
rode,2.2,3,2.6,10,neither
roll,2.8,3.333333333,3.066666667,15,neither
rolled,2.428571429,3,2.714285714,14,neither
roller,2,3.25,2.583333333,12,neither
Griffith,1.3,2.4,1.8,10,m
groaned,2.133333333,2.733333333,2.466666667,15,m
Grouchy,1.6,2.5,2,10,m
room,2.5,3.285714286,2.928571429,14,neither
Grover,1.1,2,1.5,10,m
growl,1.75,2.583333333,2.166666667,12,m
grown,2.426785714,2.857142857,2.642857143,14,m
round,2.692307692,3.307692308,3,13,neither
royal,2.6,3.533333333,3.066666667,15,neither
Gruffalo,1.5,2.4025,2,10,m
grumbled,1.642857143,2.214285714,1.928571429,14,m
grumpy,1.569642857,2.214285714,1.857142857,14,m
rug,2.642857143,3.5,3.071428571,14,neither
guard,1.733333333,2.933333333,2.333333333,15,m
run,2.3,3,2.7,10,neither
gun,1.5,2.214285714,1.857142857,14,m
runs (in a race),2.536538462,3.384615385,2.923076923,13,neither
rushed,2.416666667,3.25,2.833333333,12,neither
guy,1,1.571428571,1.285714286,14,m
had,2.416666667,2.916666667,2.666666667,12,m
hairy,1.428571429,2.142857143,1.785714286,14,m
sad,2.933333333,3.666666667,3.266666667,15,neither
safe,2.846153846,3.615384615,3.230769231,13,neither
safely,2.846153846,3.461538462,3.153846154,13,neither
said,2.785714286,3.571428571,3.142857143,14,neither
sail,2.705882353,3.294117647,3,17,neither
hall,2.428571429,2.928571429,2.714285714,14,m
sake,2.833333333,3.75,3.25,12,neither
handsome,1.117647059,1.705882353,1.411764706,17,m
handy,1.866666667,2.533333333,2.2,15,m
sale,2.928571429,4.073214286,3.571428571,14,neither
hang,2.1234375,2.8125,2.5,16,m
hanging,2.333333333,2.833333333,2.583333333,12,m
hard,1.4,1.9025,1.7,10,m
harder,1.5,2.333333333,1.916666667,12,m
Sammy,2.076923077,3.384615385,2.692307692,13,neither
sand,2.714285714,3.285714286,3,14,neither
hardly,2.285714286,2.928571429,2.571428571,14,m
Harold,1,1,1,10,m
Harry,1,2.2,1.4,10,m
sat,2.714285714,3.285714286,3,14,neither
saturday,2.357142857,3.071428571,2.785714286,14,neither
saved,2.571428571,3.214285714,2.928571429,14,neither
hat,1.855357143,2.642857143,2.214285714,14,m
hate,1.7,2.5,2.1,10,m
saying,2.733333333,3.466666667,3.066666667,15,neither
says,2.8125,3.3765625,3.125,16,neither
scarcely,2.857142857,3.285714286,3.071428571,14,neither
he,1,1.214285714,1.071428571,14,m
scary,2.571428571,3.214285714,2.857142857,14,neither
school,2.769230769,3.230769231,3,13,neither
scrambled,2.846153846,3.615384615,3.230769231,13,neither
head,2.4,2.9,2.7,10,m
scratched,2.666666667,3.752083333,3.25,12,neither
heavy,1.357142857,2.214285714,1.785714286,14,m
scrub,2.333333333,3.2,2.8,15,neither
sea,2.692307692,3.461538462,3.076923077,13,neither
searched,2.083333333,3.252083333,2.666666667,12,neither
Hector,1,1.642857143,1.285714286,14,m
second,2.6,3,2.8,15,neither
helmet,1.615384615,2.615384615,2.076923077,13,m
see,2.6,3.2,2.9,10,neither
seeds,2.857142857,3.571428571,3.214285714,14,neither
seek,2.5,3.285714286,2.928571429,14,neither
seem,2.928571429,3.5,3.214285714,14,neither
henry,1,1,1,14,m
highway,2.214285714,2.785714286,2.5,14,m
sell,2.428571429,3,2.714285714,14,neither
send,2.75,3.375,3.0625,16,neither
sent,2.785714286,3.214285714,3,14,neither
serve,2.642857143,3.714285714,3.214285714,14,neither
served,2.666666667,3.333333333,3,15,neither
service,2.461538462,3.076923077,2.769230769,13,neither
set,2.7,3,2.9,10,neither
him,1,1,1,14,m
setting (sun),2.923076923,3.538461538,3.230769231,13,neither
himself,1,1.4,1.2,15,m
seven,2.6,3.133333333,2.866666667,15,neither
several,2.571428571,3.428571429,3,14,neither
Hippopotomus,1.9,2.9,2.4,10,m
his,1,1.6,1.266666667,15,m
shake,2.8,3.4,3.1,10,neither
shall,2.733333333,3.533333333,3.133333333,15,neither
shame,2.785714286,3.285714286,3,14,neither
hog (animal),1.538461538,2.307692308,1.923076923,13,m
hog (take it all for oneself),1.5,2.142857143,1.857142857,14,m
honk,1.857142857,2.5,2.142857143,14,m
hood,1.769230769,2.538461538,2.153846154,13,m
hook,1.9,2.8,2.4,10,m
hoot,2.352941176,2.882352941,2.647058824,17,m
horn,2.141071429,2.857142857,2.5,14,m
sheep,2.933333333,3.6,3.266666667,15,neither
horrible,2.071428571,2.642857143,2.357142857,14,m
shelf,2.466666667,3.201666667,2.866666667,15,neither
Horton,1.2,2.1,1.6,10,m
huge,1.5975,2.2,1.9,10,m
hung,1.6,2.4,2,10,m
hungry,1.857142857,2.571428571,2.214285714,14,m
hunter,1.428571429,2.142857143,1.785714286,14,m
shoe,2.333333333,3.333333333,2.833333333,12,neither
hunting,1.357142857,2.642857143,1.928571429,14,m
shook,2.5625,3.3125,2.9375,16,neither
husband,1.076923077,1.923076923,1.461538462,13,m
shop,2.8125,3.75,3.3125,16,neither
jack,1.153846154,2,1.538461538,13,m
shore,2.538461538,3.615384615,3.076923077,13,neither
Jake,1,1.5,1.2,10,m
James,1,1.357142857,1.142857143,14,m
shorts (attire),2.785714286,3.785714286,3.285714286,14,neither
Japan,1.857142857,2.930357143,2.428571429,14,m
shot (needle),2.914583333,4.083333333,3.416666667,12,neither
jaws,2.230769231,2.692307692,2.461538462,13,m
shoulder,2.333333333,3.066666667,2.666666667,15,neither
jeep,1.928571429,2.857142857,2.357142857,14,m
Jerry,1.214285714,1.714285714,1.428571429,14,m
jet (plane),1.857142857,2.857142857,2.357142857,14,m
jig (device),2.083333333,2.916666667,2.5,12,m
show,2.9375,3.8125,3.375,16,neither
shower,2.642857143,3.571428571,3.071428571,14,neither
job,1.6,2.5,2.1,10,m
shows (verb; to display),2.931666667,3.8,3.333333333,15,neither
shut,2.375,3.0625,2.75,16,neither
Joe,1,1.470588235,1.176470588,17,m
sick,2.866666667,3.4,3.133333333,15,neither
joke,2.333333333,2.801666667,2.6,15,m
judge (decide for oneself),2.176470588,2.823529412,2.529411765,17,m
judge (person),1.866666667,2.666666667,2.266666667,15,m
jumped,2.2,2.9,2.6,10,m
sign,2.714285714,3.285714286,3,14,neither
signal,2.538461538,3.153846154,2.846153846,13,neither
jumping,2.4,2.9,2.7,10,m
jungle,1.642857143,2.642857143,2.142857143,14,m
junior,1.8,2.733333333,2.266666667,15,m
kill,1.714285714,2.501785714,2.142857143,14,m
silver,2.4,3.6,3,10,neither
king,1,1.9375,1.375,16,m
knife,2,2.666666667,2.333333333,15,m
knock,2.214285714,2.857142857,2.571428571,14,m
ladder,1.666666667,2.333333333,2,15,m
land (action),2.071428571,2.642857143,2.357142857,14,m
land (place),2.1,2.7,2.4,10,m
large,2.230769231,2.846153846,2.538461538,13,m
sink (kitchen),2.666666667,3.6,3.133333333,15,neither
larger,1.666666667,2.666666667,2.166666667,12,m
later,2.428571429,2.928571429,2.714285714,14,m
sit,2.933333333,3.466666667,3.2,15,neither
sitting,2.846153846,3.461538462,3.153846154,13,neither
lawn,1.642857143,2.642857143,2.142857143,14,m
lazy,2.066666667,2.8,2.466666667,15,m
lead (action),1.733333333,2.533333333,2.133333333,15,m
leap,2.461538462,2.923076923,2.692307692,13,m
led,2.2,2.866666667,2.533333333,15,m
skipped,2.933333333,3.735,3.333333333,15,neither
Lee,1.642857143,2.642857143,2.142857143,14,m
Leo,1,1.846153846,1.384615385,13,m
lift,1.75,2.833333333,2.25,12,m
sleeping,2.857142857,3.5,3.142857143,14,neither
slept,2.857142857,3.428571429,3.142857143,14,neither
slid,2.615384615,3.230769231,2.923076923,13,neither
limousine,2.142857143,2.857142857,2.5,14,m
slipped,2.928571429,3.571428571,3.214285714,14,neither
slow,2.75,3.375,3.0625,16,neither
line,2.333333333,2.933333333,2.666666667,15,m
lion,1.357142857,1.857142857,1.571428571,14,m
lit (fire),2.153846154,2.923076923,2.538461538,13,m
load,1.785714286,2.573214286,2.214285714,14,m
loader,1.785714286,2.428571429,2.142857143,14,m
smart,2.6,3.266666667,2.933333333,15,neither
lock,2.428571429,2.928571429,2.714285714,14,m
smell,2.714285714,3.428571429,3.071428571,14,neither
locked,2,2.846153846,2.461538462,13,m
log,2.294117647,2.764705882,2.529411765,17,m
logs,1.8,2.533333333,2.2,15,m
long,2.25,2.875,2.5625,16,m
longer,2.357142857,2.928571429,2.642857143,14,m
Lorax,1.7,2.5,2.1,10,m
smooth,2.833333333,4.25,3.583333333,12,neither
snail,2.642857143,3,2.857142857,14,neither
loud,1.714285714,2.428571429,2.071428571,14,m
loudly,2.153846154,2.846153846,2.538461538,13,m
machines,1.764705882,2.411764706,2.117647059,17,m
sneaky,2.384615385,3,2.692307692,13,neither
sneeze,2.583333333,3,2.833333333,12,neither
Mack,1.137931034,1.689655172,1.379310345,29,m
mad,1.642857143,2.428571429,2,14,m
main,2,2.846153846,2.461538462,13,m
snowed,2.857142857,3.285714286,3.071428571,14,neither
man,1,1.3,1.1,10,m
march (way of walking),2,2.928571429,2.5,14,m
marched,2,2.923076923,2.461538462,13,m
so,2.769230769,3,2.923076923,13,neither
Mark,1,1,1,15,m
socks,2.3,3.1,2.7,10,neither
Mars,1.998214286,2.714285714,2.357142857,14,m
Marshall,1,1.928571429,1.428571429,14,m
master,1.142857143,1.571428571,1.357142857,14,m
sold,2.428571429,3,2.714285714,14,neither
Max,1,1.5,1.2,10,m
mayor,1.6875,2.5625,2.125,16,m
Mcgee,1.3,2.4025,1.8,10,m
someday,2.866666667,3.533333333,3.2,15,neither
mcgregor,1.151923077,1.692307692,1.384615385,13,m
something,2.875,3.3125,3.0625,16,neither
meat,1.785714286,2.357142857,2.071428571,14,m
somewhere,2.857142857,3.428571429,3.142857143,14,neither
Melvin,1,1.533333333,1.2,15,m
member,1.747916667,2.583333333,2.166666667,12,m
men,1,1,1,14,m
merrymen,1.307692308,1.923076923,1.615384615,13,m
Michael,1,1.230769231,1.076923077,13,m
sore,2.384615385,3,2.692307692,13,neither
Mickey,1.5,2.857142857,2.142857143,14,m
sort,2.5,3,2.833333333,12,neither
Sotomayor,2,3.4,2.7,10,neither
soul,2.928571429,3.5,3.214285714,14,neither
sound,2.785714286,3.428571429,3.071428571,14,neither
might,2.071428571,2.928571429,2.5,14,m
mighty,1.642857143,2.357142857,2,14,m
soup,2.857142857,3.571428571,3.214285714,14,neither
Mike,1,1.3,1.1,10,m
mister,1,1.533333333,1.2,15,m
spaghetti,2.8,3.466666667,3.133333333,15,neither
mit,1.923076923,2.846153846,2.384615385,13,m
speak,2.866666667,3.466666667,3.133333333,15,neither
money,2.230769231,2.923076923,2.615384615,13,m
sped,2.153846154,3.076923077,2.615384615,13,neither
speech,2.588235294,3.058823529,2.823529412,17,neither
monkey,2,2.8,2.4,10,m
monster,1.642857143,2.357142857,2,14,m
Moose,1.2,2.2,1.7,10,m
Morris,1.1,1.9,1.5,10,m
spent,2.857142857,3.714285714,3.285714286,14,neither
Mortimer,1,1.2,1.066666667,15,m
motor,1.071428571,1.5,1.285714286,14,m
mountain,1.357142857,2,1.642857143,14,m
mountains,2.142857143,2.785714286,2.428571429,14,m
Mr.,1,1,1,14,m
split,2.615384615,3.461538462,3.076923077,13,neither
mud,1.923076923,2.692307692,2.307692308,13,m
spoil,2.285714286,3.214285714,2.785714286,14,neither
